,Unnamed: 0,Unnamed: 0.1,학번,학생소속대학명,학생교육부계열,성별,입학과정,학적,학과,전공,전공교수,rec014_nation_cd,과정,수료년도,수료학기,rec014_birth_dt,졸업년도,졸업학기,gpa,rec014_school_term,인건비총액,서류점수,면접점수,학부출신,대학원출신,월별인건비
3,3,122,AAHAsJVv6TMImBEIos+p9QQl,공과대학,공학,2,학연산협동과정,졸업,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석·박사통합과정,2018,1R,19910210,2020,1R,4.19,6,,46.5,48.1,타교,,0
7,7,338,AAFt2Ih4hbas8HWBH70ZK/Kx,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석·박사통합과정,2019,2R,19910930,2020,1R,4.17,7,,39.3,38.1,타교,,0
8,8,346,AAEtXDclBtE4/D+7Bhaaar7p,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석·박사통합과정,2019,1R,19910810,2020,1R,4.44,6,61720638,45.9,42.9,자교,,1285847
11,11,381,AAFQAXiJRLYV9jhshEfBthoi,공과대학,공학,1,정원내신입학,졸업,마이크로/나노시스템협동과정,마이크로/나노시스템협동과정전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석·박사통합과정,2018,1R,19900817,2020,1R,4.06,6,77936000,42,43,자교,,1298933
12,12,403,AAFRGdJwIVydeCaCnzjeI8wp,공과대학,공학,2,정원내신입학,졸업,신소재공학과,신소재공학전공,AAFi4juzPESAU71QzFVv2xel,korean,석·박사통합과정,2018,1R,19911029,2020,1R,4.39,6,114520000,57,38,자교,,1908667
13,13,786,AAF6OkhXqfriyj6es1UnpDTU,공과대학,공학,1,편입학통합(4학기),졸업,신소재공학과,신소재공학전공,AAG/JVT6xluE6DbNm+mre8iq,korean,석·박사통합과정,2016,2R,19820301,2017,1R,4.14,6,,49,39,타교,,0
14,14,2336,AAERPnDIXeS0PahOUMQZu+xX,공과대학,공학,1,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAHgUVNRwv/2JnLflHfEFa8n,korean,석·박사통합과정,2018,1R,19920824,2019,1R,4,6,68509388,50,33.5,자교,,1427279
16,16,2408,AAFNvUe0kLmgAf9Men/DupBq,공과대학,공학,1,편입학석사(3학기),졸업,신소재공학과,신소재공학전공,AAG/JVT6xluE6DbNm+mre8iq,korean,석·박사통합과정,2017,1R,19881113,2019,1R,4.42,6,,49,49,타교,타교,0
19,19,2441,AAHeAJT8IYE9tghE5xR1Fp0j,공과대학,공학,1,정원외-계약학과,졸업,나노반도체공학과,나노반도체재료및소자전공,AAFOnXyI9jipyy9a/FKtt3pd,korean,석·박사통합과정,2018,1R,19900805,2020,1R,4.36,6,40226000,48,45,자교,,670433
20,20,2565,AAHhbsVjIe6Ui1lDAHMXH7ku,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석·박사통합과정,2018,1R,19900508,2019,1R,4.25,6,,44.5,43.9,타교,,0
